"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"19-4099","19-4099","1970","19-4099.00","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Life, Physical, and Social Science Technicians, All Other","Other life, physical, and social science technicians","19-4044.00","Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4099","19-4012","1900","19-4099.02","Precision Agriculture Technicians","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Agricultural Technicians","Agricultural and food science technicians","19-4012.01","Precision Agriculture Technicians","STEM","No","Yes","Non-STW"
"19-4099","19-4044","1935","19-4099.00","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Hydrologic Technicians","Environmental  science and geoscience technicians","19-4044.00","Hydrologic Technicians","STEM","No","Yes","Non-STW"
"19-4099","19-4044","1935","19-4099.00","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Hydrologic Technicians","Environmental  science and geoscience technicians","19-4099.00","Life, Physical, and Social Science Technicians, All Other","STEM","No","Yes","Non-STW"
"19-4099","19-4099","1970","19-4099.03","Remote Sensing Technicians","Life, Physical, and Social Science Technicians, All Other","Miscellaneous life, physical, and social science technicians","1965","Life, Physical, and Social Science Technicians, All Other","Other life, physical, and social science technicians","19-4099.03","Remote Sensing Technicians","STEM","No","Yes","Non-STW"
"21-1011","21-1011","2001","21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Substance Abuse and Behavioral Disorder Counselors","Counselors","2000","Substance Abuse and Behavioral Disorder Counselors","Substance abuse and behavioral disorder counselors","21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Non-STEM","No","No","Non-STW"
"21-1012","21-1012","2002","21-1012.00","Educational, Guidance, School, and Vocational Counselors","Educational, Guidance, School, and Vocational Counselors","Counselors","2000","Educational, Guidance, and Career Counselors and Advisors","Educational, guidance, and career counselors and advisors","21-1012.00","Educational, Guidance, and Career Counselors and Advisors","Non-STEM","No","No","Non-STW"
"21-1013","21-1013","2003","21-1013.00","Marriage and Family Therapists","Marriage and Family Therapists","Counselors","2000","Marriage and Family Therapists","Marriage and family therapists","21-1013.00","Marriage and Family Therapists","Non-STEM","No","No","Non-STW"
"21-1014","21-1014","2004","21-1014.00","Mental Health Counselors","Mental Health Counselors","Counselors","2000","Mental Health Counselors","Mental health counselors","21-1014.00","Mental Health Counselors","Non-STEM","No","No","Non-STW"
"21-1015","21-1015","2005","21-1015.00","Rehabilitation Counselors","Rehabilitation Counselors","Counselors","2000","Rehabilitation Counselors","Rehabilitation counselors","21-1015.00","Rehabilitation Counselors","Non-STEM","No","No","Non-STW"
"21-1019","21-1019","2006","21-1019.00","Counselors, All Other","Counselors, All Other","Counselors","2000","Counselors, All Other","Counselors, all other","21-1019.00","Counselors, All Other","Non-STEM",NA,NA,NA
"21-1021","21-1021","2011","21-1021.00","Child, Family, and School Social Workers","Child, Family, and School Social Workers","Social workers","2010","Child, Family, and School Social Workers","Child, family, and school social workers","21-1021.00","Child, Family, and School Social Workers","Non-STEM","No","No","Non-STW"
"21-1022","21-1022","2012","21-1022.00","Healthcare Social Workers","Healthcare Social Workers","Social workers","2010","Healthcare Social Workers","Healthcare social workers","21-1022.00","Healthcare Social Workers","Non-STEM","No","No","Non-STW"
"21-1023","21-1023","2013","21-1023.00","Mental Health and Substance Abuse Social Workers","Mental Health and Substance Abuse Social Workers","Social workers","2010","Mental Health and Substance Abuse Social Workers","Mental health and substance abuse social workers","21-1023.00","Mental Health and Substance Abuse Social Workers","Non-STEM","No","No","Non-STW"
"21-1029","21-1029","2014","21-1029.00","Social Workers, All Other","Social Workers, All Other","Social workers","2010","Social Workers, All Other","Social workers, all other","21-1029.00","Social Workers, All Other","Non-STEM",NA,NA,NA
"21-1091","21-1091","2025","21-1091.00","Health Educators","Health Educators","Miscellaneous community and social service specialists, including health educators and community health workers","2025","Health Education Specialists","Other community and social service specialists","21-1091.00","Health Education Specialists","Non-STEM","Yes","No","Non-STW"
"21-1092","21-1092","2015","21-1092.00","Probation Officers and Correctional Treatment Specialists","Probation Officers and Correctional Treatment Specialists","Probation officers and correctional treatment specialists","2015","Probation Officers and Correctional Treatment Specialists","Probation officers and correctional treatment specialists","21-1092.00","Probation Officers and Correctional Treatment Specialists","Non-STEM","No","No","Non-STW"
"21-1093","21-1093","2016","21-1093.00","Social and Human Service Assistants","Social and Human Service Assistants","Social and human service assistants","2016","Social and Human Service Assistants","Social and human service assistants","21-1093.00","Social and Human Service Assistants","Non-STEM","No","No","Non-STW"
"21-1094","21-1094","2025","21-1094.00","Community Health Workers","Community Health Workers","Miscellaneous community and social service specialists, including health educators and community health workers","2025","Community Health Workers","Other community and social service specialists","21-1094.00","Community Health Workers","Non-STEM","No","No","Non-STW"
"21-1099","21-1099","2025","21-1099.00","Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other","Miscellaneous community and social service specialists, including health educators and community health workers","2025","Community and Social Service Specialists, All Other","Other community and social service specialists","21-1099.00","Community and Social Service Specialists, All Other","Non-STEM",NA,NA,NA
"21-2011","21-2011","2040","21-2011.00","Clergy","Clergy","Clergy","2040","Clergy","Clergy","21-2011.00","Clergy","Non-STEM","No","No","Non-STW"
"21-2021","21-2021","2050","21-2021.00","Directors, Religious Activities and Education","Directors, Religious Activities and Education","Directors, religious activities and education","2050","Directors, Religious Activities and Education","Directors, religious activities and education","21-2021.00","Directors, Religious Activities and Education","Non-STEM","No","No","Non-STW"
"21-2099","21-2099","2060","21-2099.00","Religious Workers, All Other","Religious Workers, All Other","Religious workers, all other","2060","Religious Workers, All Other","Religious workers, all other","21-2099.00","Religious Workers, All Other","Non-STEM",NA,NA,NA
"23-1011","23-1011","2100","23-1011.00","Lawyers","Lawyers","Lawyers","2100","Lawyers","Lawyers","23-1011.00","Lawyers","Non-STEM","No","No","Non-STW"
"23-1012","23-1012","2105","23-1012.00","Judicial Law Clerks","Judicial Law Clerks","Judicial law clerks","2105","Judicial Law Clerks","Judicial law clerks","23-1012.00","Judicial Law Clerks","Non-STEM","No","No","Non-STW"
"23-1021","23-1021","2110","23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers","Judges, magistrates, and other judicial workers","2110","Administrative Law Judges, Adjudicators, and Hearing Officers","Judges, magistrates, and other judicial workers","23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers","Non-STEM","No","No","Non-STW"
"23-1022","23-1022","2110","23-1022.00","Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators","Judges, magistrates, and other judicial workers","2110","Arbitrators, Mediators, and Conciliators","Judges, magistrates, and other judicial workers","23-1022.00","Arbitrators, Mediators, and Conciliators","Non-STEM","No","No","Non-STW"
"23-1023","23-1023","2110","23-1023.00","Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates","Judges, magistrates, and other judicial workers","2110","Judges, Magistrate Judges, and Magistrates","Judges, magistrates, and other judicial workers","23-1023.00","Judges, Magistrate Judges, and Magistrates","Non-STEM","No","No","Non-STW"
"23-2011","23-2011","2145","23-2011.00","Paralegals and Legal Assistants","Paralegals and Legal Assistants","Paralegals and legal assistants","2145","Paralegals and Legal Assistants","Paralegals and legal assistants","23-2011.00","Paralegals and Legal Assistants","Non-STEM","Yes","No","Non-STW"
"23-2091","27-3092","2862","23-2091.00","Court Reporters","Court Reporters","Miscellaneous legal support workers","2160","Court Reporters and Simultaneous Captioners","Court reporters and simultaneous captioners","27-3092.00","Court Reporters and Simultaneous Captioners","Non-STEM","Yes","Yes","STW"
"23-2093","23-2093","2170","23-2093.00","Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers","Miscellaneous legal support workers","2160","Title Examiners, Abstractors, and Searchers","Title examiners, abstractors, and searchers","23-2093.00","Title Examiners, Abstractors, and Searchers","Non-STEM","Yes","No","Non-STW"
"23-2099","23-2099","2180","23-2099.00","Legal Support Workers, All Other","Legal Support Workers, All Other","Miscellaneous legal support workers","2160","Legal Support Workers, All Other","Legal support workers, all other","23-2099.00","Legal Support Workers, All Other","Non-STEM",NA,NA,NA
